"id_rz_no_lectura","id_persona","razon_no_lectura"
187,17414,"Otras actividades culturales"
188,17439,"Otras actividades culturales"
189,17560,"Otras actividades culturales"
190,17587,"Otras actividades culturales"
191,17672,"Otras actividades culturales"
192,17853,"Otras actividades culturales"
193,17955,"Otras actividades culturales"
194,17998,"Otras actividades culturales"
195,18025,"Otras actividades culturales"
196,18059,"Otras actividades culturales"
197,18062,"Otras actividades culturales"
198,18104,"Otras actividades culturales"
199,18449,"Otras actividades culturales"
200,18611,"Otras actividades culturales"
201,18758,"Otras actividades culturales"
202,18764,"Otras actividades culturales"
203,18804,"Otras actividades culturales"
204,18889,"Otras actividades culturales"
205,18901,"Otras actividades culturales"
206,18989,"Otras actividades culturales"
207,19090,"Otras actividades culturales"
208,19130,"Otras actividades culturales"
209,19167,"Otras actividades culturales"
210,19271,"Otras actividades culturales"
211,19470,"Otras actividades culturales"
212,19559,"Otras actividades culturales"
213,19606,"Otras actividades culturales"
214,19608,"Otras actividades culturales"
215,19741,"Otras actividades culturales"
216,19755,"Otras actividades culturales"
217,19881,"Otras actividades culturales"
218,19905,"Otras actividades culturales"
219,19931,"Otras actividades culturales"
220,19991,"Otras actividades culturales"
221,20179,"Otras actividades culturales"
222,20224,"Otras actividades culturales"
223,20256,"Otras actividades culturales"
224,20308,"Otras actividades culturales"
225,20343,"Otras actividades culturales"
226,20349,"Otras actividades culturales"
227,20354,"Otras actividades culturales"
228,20574,"Otras actividades culturales"
229,20601,"Otras actividades culturales"
230,20689,"Otras actividades culturales"
231,20936,"Otras actividades culturales"
232,20973,"Otras actividades culturales"
233,21008,"Otras actividades culturales"
234,21142,"Otras actividades culturales"
235,21160,"Otras actividades culturales"
236,21161,"Otras actividades culturales"
237,21163,"Otras actividades culturales"
238,21178,"Otras actividades culturales"
239,21197,"Otras actividades culturales"
240,21427,"Otras actividades culturales"
241,21608,"Otras actividades culturales"
242,21979,"Otras actividades culturales"
243,22026,"Otras actividades culturales"
244,22142,"Otras actividades culturales"
245,22254,"Otras actividades culturales"
246,22294,"Otras actividades culturales"
247,22496,"Otras actividades culturales"
248,22628,"Otras actividades culturales"
249,22630,"Otras actividades culturales"
250,22722,"Otras actividades culturales"
251,23024,"Otras actividades culturales"
252,23217,"Otras actividades culturales"
253,23408,"Otras actividades culturales"
254,23672,"Otras actividades culturales"
255,23930,"Otras actividades culturales"
256,23975,"Otras actividades culturales"
257,24044,"Otras actividades culturales"
258,24046,"Otras actividades culturales"
259,24054,"Otras actividades culturales"
260,24057,"Otras actividades culturales"
261,24140,"Otras actividades culturales"
262,24144,"Otras actividades culturales"
263,24145,"Otras actividades culturales"
264,24338,"Otras actividades culturales"
265,24414,"Otras actividades culturales"
266,24419,"Otras actividades culturales"
267,24421,"Otras actividades culturales"
268,24430,"Otras actividades culturales"
269,24467,"Otras actividades culturales"
270,24469,"Otras actividades culturales"
271,24471,"Otras actividades culturales"
272,24474,"Otras actividades culturales"
273,24581,"Otras actividades culturales"
274,24614,"Otras actividades culturales"
275,24625,"Otras actividades culturales"
276,24805,"Otras actividades culturales"
277,24899,"Otras actividades culturales"
278,25601,"Otras actividades culturales"
279,25878,"Otras actividades culturales"
280,26174,"Otras actividades culturales"
281,26324,"Otras actividades culturales"
282,26497,"Otras actividades culturales"
283,27057,"Otras actividades culturales"
284,27348,"Otras actividades culturales"
285,27356,"Otras actividades culturales"
286,27445,"Otras actividades culturales"
287,27548,"Otras actividades culturales"
288,27553,"Otras actividades culturales"
289,27586,"Otras actividades culturales"
290,27612,"Otras actividades culturales"
291,27754,"Otras actividades culturales"
292,27974,"Otras actividades culturales"
293,27979,"Otras actividades culturales"
294,27980,"Otras actividades culturales"
295,27988,"Otras actividades culturales"
296,28274,"Otras actividades culturales"
297,28347,"Otras actividades culturales"
298,28596,"Otras actividades culturales"
299,28606,"Otras actividades culturales"
300,28644,"Otras actividades culturales"
301,28774,"Otras actividades culturales"
302,28873,"Otras actividades culturales"
303,28946,"Otras actividades culturales"
304,29125,"Otras actividades culturales"
305,29398,"Otras actividades culturales"
306,29439,"Otras actividades culturales"
307,29820,"Otras actividades culturales"
308,29827,"Otras actividades culturales"
309,29855,"Otras actividades culturales"
310,29856,"Otras actividades culturales"
311,29864,"Otras actividades culturales"
312,30133,"Otras actividades culturales"
313,30210,"Otras actividades culturales"
314,30318,"Otras actividades culturales"
315,30319,"Otras actividades culturales"
316,30323,"Otras actividades culturales"
317,30471,"Otras actividades culturales"
318,30619,"Otras actividades culturales"
319,30620,"Otras actividades culturales"
320,30787,"Otras actividades culturales"
321,31187,"Otras actividades culturales"
322,31714,"Otras actividades culturales"
323,32606,"Otras actividades culturales"
324,32619,"Otras actividades culturales"
325,32620,"Otras actividades culturales"
326,32622,"Otras actividades culturales"
327,32623,"Otras actividades culturales"
328,32633,"Otras actividades culturales"
329,32655,"Otras actividades culturales"
330,32732,"Otras actividades culturales"
331,33019,"Otras actividades culturales"
332,33135,"Otras actividades culturales"
333,33143,"Otras actividades culturales"
334,33229,"Otras actividades culturales"
335,33233,"Otras actividades culturales"
336,33237,"Otras actividades culturales"
337,33243,"Otras actividades culturales"
338,33484,"Otras actividades culturales"
339,33615,"Otras actividades culturales"
340,33626,"Otras actividades culturales"
341,33629,"Otras actividades culturales"
342,33712,"Otras actividades culturales"
343,33720,"Otras actividades culturales"
344,34068,"Otras actividades culturales"
345,34077,"Otras actividades culturales"
346,34172,"Otras actividades culturales"
347,34254,"Otras actividades culturales"
348,34350,"Otras actividades culturales"
349,34565,"Otras actividades culturales"
350,34958,"Otras actividades culturales"
351,35441,"Otras actividades culturales"
352,35514,"Otras actividades culturales"
353,35561,"Otras actividades culturales"
354,35708,"Otras actividades culturales"
355,35711,"Otras actividades culturales"
356,36023,"Otras actividades culturales"
357,36451,"Otras actividades culturales"
358,36488,"Otras actividades culturales"
359,36872,"Otras actividades culturales"
360,36877,"Otras actividades culturales"
361,36881,"Otras actividades culturales"
362,36930,"Otras actividades culturales"
363,37006,"Otras actividades culturales"
364,37251,"Otras actividades culturales"
365,37348,"Otras actividades culturales"
366,37517,"Otras actividades culturales"
367,37662,"Otras actividades culturales"
368,37695,"Otras actividades culturales"
369,37857,"Otras actividades culturales"
370,37919,"Otras actividades culturales"
371,38319,"Otras actividades culturales"
372,38422,"Otras actividades culturales"
373,38425,"Otras actividades culturales"
374,38961,"Otras actividades culturales"
375,39055,"Otras actividades culturales"
376,39481,"Otras actividades culturales"
377,39680,"Otras actividades culturales"
378,40279,"Otras actividades culturales"
379,40462,"Otras actividades culturales"
380,40483,"Otras actividades culturales"
381,40849,"Otras actividades culturales"
382,41088,"Otras actividades culturales"
383,41302,"Otras actividades culturales"
384,41311,"Otras actividades culturales"
385,41538,"Otras actividades culturales"
386,41592,"Otras actividades culturales"
387,42066,"Otras actividades culturales"
388,42108,"Otras actividades culturales"
389,42125,"Otras actividades culturales"
390,42189,"Otras actividades culturales"
391,42402,"Otras actividades culturales"
392,42445,"Otras actividades culturales"
393,42447,"Otras actividades culturales"
394,42486,"Otras actividades culturales"
395,42505,"Otras actividades culturales"
396,42532,"Otras actividades culturales"
397,42545,"Otras actividades culturales"
398,42559,"Otras actividades culturales"
399,42565,"Otras actividades culturales"
400,42572,"Otras actividades culturales"
401,42576,"Otras actividades culturales"
402,42583,"Otras actividades culturales"
403,43215,"Otras actividades culturales"
404,43311,"Otras actividades culturales"
405,43312,"Otras actividades culturales"
406,43315,"Otras actividades culturales"
407,43331,"Otras actividades culturales"
408,43353,"Otras actividades culturales"
409,43354,"Otras actividades culturales"
410,43358,"Otras actividades culturales"
411,43359,"Otras actividades culturales"
412,43363,"Otras actividades culturales"
413,43365,"Otras actividades culturales"
414,43400,"Otras actividades culturales"
415,43401,"Otras actividades culturales"
416,43409,"Otras actividades culturales"
417,43411,"Otras actividades culturales"
418,43526,"Otras actividades culturales"
419,43532,"Otras actividades culturales"
420,43706,"Otras actividades culturales"
421,43726,"Otras actividades culturales"
422,43749,"Otras actividades culturales"
423,407,"Otras actividades recreativas y/o sociales"
424,767,"Otras actividades recreativas y/o sociales"
425,811,"Otras actividades recreativas y/o sociales"
426,880,"Otras actividades recreativas y/o sociales"
427,918,"Otras actividades recreativas y/o sociales"
428,1281,"Otras actividades recreativas y/o sociales"
429,1459,"Otras actividades recreativas y/o sociales"
430,1467,"Otras actividades recreativas y/o sociales"
431,1596,"Otras actividades recreativas y/o sociales"
