"id_rz_lectura","id_persona","razon_si_lectura"
187,434,"Placer/entretenimiento"
188,435,"Placer/entretenimiento"
189,436,"Placer/entretenimiento"
190,437,"Placer/entretenimiento"
191,438,"Placer/entretenimiento"
192,441,"Placer/entretenimiento"
193,442,"Placer/entretenimiento"
194,443,"Placer/entretenimiento"
195,444,"Placer/entretenimiento"
196,445,"Placer/entretenimiento"
197,446,"Placer/entretenimiento"
198,450,"Placer/entretenimiento"
199,452,"Placer/entretenimiento"
200,456,"Placer/entretenimiento"
201,458,"Placer/entretenimiento"
202,463,"Placer/entretenimiento"
203,476,"Placer/entretenimiento"
204,477,"Placer/entretenimiento"
205,480,"Placer/entretenimiento"
206,483,"Placer/entretenimiento"
207,487,"Placer/entretenimiento"
208,491,"Placer/entretenimiento"
209,492,"Placer/entretenimiento"
210,497,"Placer/entretenimiento"
211,499,"Placer/entretenimiento"
212,501,"Placer/entretenimiento"
213,504,"Placer/entretenimiento"
214,505,"Placer/entretenimiento"
215,508,"Placer/entretenimiento"
216,510,"Placer/entretenimiento"
217,511,"Placer/entretenimiento"
218,512,"Placer/entretenimiento"
219,515,"Placer/entretenimiento"
220,518,"Placer/entretenimiento"
221,519,"Placer/entretenimiento"
222,520,"Placer/entretenimiento"
223,521,"Placer/entretenimiento"
224,523,"Placer/entretenimiento"
225,527,"Placer/entretenimiento"
226,532,"Placer/entretenimiento"
227,534,"Placer/entretenimiento"
228,535,"Placer/entretenimiento"
229,540,"Placer/entretenimiento"
230,544,"Placer/entretenimiento"
231,548,"Placer/entretenimiento"
232,550,"Placer/entretenimiento"
233,563,"Placer/entretenimiento"
234,566,"Placer/entretenimiento"
235,568,"Placer/entretenimiento"
236,569,"Placer/entretenimiento"
237,570,"Placer/entretenimiento"
238,571,"Placer/entretenimiento"
239,573,"Placer/entretenimiento"
240,577,"Placer/entretenimiento"
241,578,"Placer/entretenimiento"
242,581,"Placer/entretenimiento"
243,593,"Placer/entretenimiento"
244,598,"Placer/entretenimiento"
245,600,"Placer/entretenimiento"
246,601,"Placer/entretenimiento"
247,602,"Placer/entretenimiento"
248,603,"Placer/entretenimiento"
249,619,"Placer/entretenimiento"
250,625,"Placer/entretenimiento"
251,628,"Placer/entretenimiento"
252,630,"Placer/entretenimiento"
253,633,"Placer/entretenimiento"
254,634,"Placer/entretenimiento"
255,635,"Placer/entretenimiento"
256,636,"Placer/entretenimiento"
257,644,"Placer/entretenimiento"
258,646,"Placer/entretenimiento"
259,663,"Placer/entretenimiento"
260,665,"Placer/entretenimiento"
261,666,"Placer/entretenimiento"
262,667,"Placer/entretenimiento"
263,671,"Placer/entretenimiento"
264,672,"Placer/entretenimiento"
265,674,"Placer/entretenimiento"
266,675,"Placer/entretenimiento"
267,676,"Placer/entretenimiento"
268,677,"Placer/entretenimiento"
269,678,"Placer/entretenimiento"
270,680,"Placer/entretenimiento"
271,682,"Placer/entretenimiento"
272,683,"Placer/entretenimiento"
273,686,"Placer/entretenimiento"
274,687,"Placer/entretenimiento"
275,690,"Placer/entretenimiento"
276,697,"Placer/entretenimiento"
277,702,"Placer/entretenimiento"
278,708,"Placer/entretenimiento"
279,709,"Placer/entretenimiento"
280,719,"Placer/entretenimiento"
281,721,"Placer/entretenimiento"
282,730,"Placer/entretenimiento"
283,744,"Placer/entretenimiento"
284,745,"Placer/entretenimiento"
285,748,"Placer/entretenimiento"
286,749,"Placer/entretenimiento"
287,750,"Placer/entretenimiento"
288,752,"Placer/entretenimiento"
289,757,"Placer/entretenimiento"
290,758,"Placer/entretenimiento"
291,759,"Placer/entretenimiento"
292,760,"Placer/entretenimiento"
293,761,"Placer/entretenimiento"
294,762,"Placer/entretenimiento"
295,763,"Placer/entretenimiento"
296,764,"Placer/entretenimiento"
297,765,"Placer/entretenimiento"
298,766,"Placer/entretenimiento"
299,768,"Placer/entretenimiento"
300,769,"Placer/entretenimiento"
301,770,"Placer/entretenimiento"
302,772,"Placer/entretenimiento"
303,776,"Placer/entretenimiento"
304,777,"Placer/entretenimiento"
305,779,"Placer/entretenimiento"
306,780,"Placer/entretenimiento"
307,783,"Placer/entretenimiento"
308,785,"Placer/entretenimiento"
309,787,"Placer/entretenimiento"
310,788,"Placer/entretenimiento"
311,791,"Placer/entretenimiento"
312,792,"Placer/entretenimiento"
313,793,"Placer/entretenimiento"
314,796,"Placer/entretenimiento"
315,799,"Placer/entretenimiento"
316,800,"Placer/entretenimiento"
317,801,"Placer/entretenimiento"
318,802,"Placer/entretenimiento"
319,803,"Placer/entretenimiento"
320,805,"Placer/entretenimiento"
321,806,"Placer/entretenimiento"
322,809,"Placer/entretenimiento"
323,812,"Placer/entretenimiento"
324,814,"Placer/entretenimiento"
325,818,"Placer/entretenimiento"
326,823,"Placer/entretenimiento"
327,830,"Placer/entretenimiento"
328,834,"Placer/entretenimiento"
329,847,"Placer/entretenimiento"
330,848,"Placer/entretenimiento"
331,849,"Placer/entretenimiento"
332,850,"Placer/entretenimiento"
333,852,"Placer/entretenimiento"
334,853,"Placer/entretenimiento"
335,854,"Placer/entretenimiento"
336,855,"Placer/entretenimiento"
337,856,"Placer/entretenimiento"
338,858,"Placer/entretenimiento"
339,859,"Placer/entretenimiento"
340,860,"Placer/entretenimiento"
341,869,"Placer/entretenimiento"
342,876,"Placer/entretenimiento"
343,885,"Placer/entretenimiento"
344,890,"Placer/entretenimiento"
345,893,"Placer/entretenimiento"
346,908,"Placer/entretenimiento"
347,909,"Placer/entretenimiento"
348,912,"Placer/entretenimiento"
349,913,"Placer/entretenimiento"
350,914,"Placer/entretenimiento"
